,Healthy,Veg dessert,Non-Veg dessert,Veg,Non-veg
0,0.3221476510067114,0.0,0.03355704697986577,0.38926174496644295,0.2550335570469799
1,0.37823834196891193,0.0,0.0,0.3626943005181347,0.25906735751295334
2,0.5964912280701754,0.0,0.0,0.19298245614035087,0.21052631578947367
3,0.4814256339958876,0.01864290610006854,0.01549006168608636,0.3103495544893763,0.17409184372858122
4,0.4024242424242424,0.034545454545454546,0.03151515151515152,0.3303030303030303,0.2012121212121212
5,0.4457728437233134,0.014517506404782237,0.004269854824935952,0.3031596925704526,0.2322801024765158
6,0.5,0.0,0.0,0.25,0.25
7,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666,0.2777777777777778
8,0.4384469696969697,0.043560606060606064,0.030303030303030304,0.24621212121212122,0.24147727272727273
9,0.48148148148148145,0.0,0.0,0.3333333333333333,0.18518518518518517
10,0.46653375106807177,0.02050697806892623,0.01082312731415551,0.34007405297636,0.16206209057248647
11,0.66,0.0,0.0,0.14,0.2
12,0.0,0.0,0.0,1.0,0.0
13,0.47333333333333333,0.013333333333333334,0.02666666666666667,0.38,0.10666666666666667
14,0.509090909090909,0.09090909090909091,0.0,0.09090909090909091,0.3090909090909091
15,0.5913978494623656,0.0,0.0,0.25806451612903225,0.15053763440860216
16,0.4177718832891247,0.03050397877984085,0.013262599469496022,0.3740053050397878,0.16445623342175067
17,0.46978243352135374,0.00684931506849315,0.0037604082728982004,0.3597904915390814,0.1598173515981735
18,0.5205479452054794,0.136986301369863,1.1102230246251565e-16,0.2054794520547945,0.136986301369863
19,0.47494033412887826,0.00994431185361973,0.011535401750198886,0.3333333333333333,0.17024661893396978
20,0.47962591850367403,0.004342017368069473,0.01002004008016032,0.34502338009352035,0.16098864395457582
21,0.47041420118343197,0.029585798816568046,0.014792899408284023,0.3076923076923077,0.17751479289940827
22,1.0,0.0,0.0,0.0,0.0
23,0.4339622641509434,0.07547169811320754,0.018867924528301886,0.2830188679245283,0.18867924528301888
24,0.5462962962962963,0.12962962962962962,0.0,0.18518518518518517,0.1388888888888889
25,0.4267790629288375,0.029994118800235246,0.013722799451088022,0.38384630464614783,0.14565771417369144
26,0.5,0.0,0.0,0.0,0.5
27,0.4417334304442826,0.014566642388929352,0.012745812090313183,0.32265112891478515,0.20830298616168974
28,0.5957446808510638,0.07659574468085106,0.01276595744680851,0.2851063829787234,0.029787234042553193
29,0.432258064516129,0.0,0.03225806451612903,0.3258064516129032,0.20967741935483872
30,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
31,0.34285714285714286,0.0,0.0,0.2,0.45714285714285713
32,0.37362637362637363,0.054945054945054944,0.027472527472527472,0.38461538461538464,0.15934065934065933
33,0.5333333333333333,0.041666666666666664,0.0,0.20833333333333334,0.21666666666666667
34,0.5493827160493827,0.0,0.0,0.22839506172839505,0.2222222222222222
35,0.21621621621621623,0.0,0.0,0.24324324324324326,0.5405405405405406
36,0.0,0.0,0.0,0.5,0.5
37,0.5028315946348734,0.021758569299552905,0.007451564828614009,0.3117734724292101,0.15618479880774963
38,0.5,0.0,0.0,0.0,0.5
39,0.4489990467111535,0.022402287893231648,0.023355576739752144,0.34127740705433746,0.16396568160152525
40,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
41,0.45314109165808447,0.02265705458290422,0.023171987641606592,0.34757981462409887,0.15345005149330587
42,0.41379310344827586,0.034482758620689655,0.0,0.30344827586206896,0.2482758620689655
43,0.3674973674973675,0.07862407862407862,0.06142506142506143,0.3260793260793261,0.16637416637416638
